#{"t_start": 1752353990.9486938, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
380.0,120,57.606952
476.0,144,59.648494
380.0,120,60.852276
572.0,168,62.532783
380.0,120,64.345935
284.0,96,65.073989
284.0,96,65.983556
380.0,120,67.374837
380.0,120,68.499829
284.0,96,69.551018
380.0,120,128.69888
284.0,96,129.997409
540.0,160,132.305238
348.0,112,133.687543
284.0,96,134.781617
284.0,96,136.300556
284.0,96,136.943836
572.0,168,139.144952
348.0,112,140.631975
348.0,112,142.028243
348.0,112,201.815395
348.0,112,202.294115
284.0,96,203.136862
380.0,120,204.754537
284.0,96,205.25819
284.0,96,205.867561
284.0,96,206.574671
284.0,96,207.379529
284.0,96,208.159358
284.0,96,209.232802
284.0,96,269.92411
380.0,120,270.770872
284.0,96,271.385751
284.0,96,272.160706
380.0,120,273.254824
284.0,96,274.097597
380.0,120,274.914943
380.0,120,276.038979
284.0,96,276.73763
284.0,96,277.437785
764.0,216,341.770004
380.0,120,342.537975
284.0,96,343.195735
380.0,120,344.221031
284.0,96,345.122648
540.0,160,346.558859
284.0,96,347.40812
284.0,96,348.007037
476.0,144,348.955034
412.0,128,350.152872
572.0,168,392.525605
2100.0,525,396.27172
412.0,128,397.187805
316.0,104,397.762789
508.0,152,398.811032
1404.0,376,401.683948
604.0,176,402.915695
828.0,232,404.483063
828.0,232,405.939713
476.0,144,407.19989
668.0,192,460.499615
444.0,136,462.241957
476.0,144,463.475658
380.0,120,464.861952
860.0,240,467.251563
700.0,200,469.942369
636.0,184,472.408774
572.0,168,474.528109
572.0,168,476.431021
380.0,120,477.876158
380.0,120,532.189944
284.0,96,532.79635
636.0,184,533.848071
412.0,128,534.431031
284.0,96,535.140162
284.0,96,535.809399
380.0,120,536.618261
348.0,112,537.367284
284.0,96,538.189112
412.0,128,538.989995
508.0,152,576.740988
380.0,120,577.583268
380.0,120,578.346254
380.0,120,578.932206
380.0,120,579.544087
284.0,96,580.279149
284.0,96,580.805261
508.0,152,581.985144
380.0,120,582.923167
636.0,184,584.407247
572.0,168,625.08242
284.0,96,625.656405
284.0,96,626.494192
476.0,144,628.791143
284.0,96,629.375104
380.0,120,632.672444
284.0,96,633.473331
284.0,96,634.2443
284.0,96,635.39518
540.0,160,637.273885
540.0,160,698.715228
668.0,192,700.954332
476.0,144,702.80845
284.0,96,703.949442
668.0,192,705.990062
284.0,96,706.967491
284.0,96,707.80329
348.0,112,708.885439
284.0,96,710.086276
284.0,96,711.191369
380.0,120,796.066303
572.0,168,796.919049
380.0,120,797.667075
476.0,144,798.76119
476.0,144,799.308249
380.0,120,800.221339
380.0,120,801.05514
476.0,144,803.347147
284.0,96,804.472138
380.0,120,806.043936
0.0,120,229.714739
284.0,96,230.235865
476.0,144,230.963437
380.0,120,231.988736
668.0,192,233.539652
380.0,120,235.319461
348.0,112,236.131827
380.0,120,237.859792
476.0,144,238.873617
764.0,216,240.224555
284.0,96,240.754656
796.0,224,243.041625
668.0,192,244.219516
444.0,136,244.996465
476.0,144,259.628722
732.0,208,260.769711
380.0,120,261.414505
380.0,120,262.189459
380.0,120,262.814813
540.0,160,263.855564
380.0,120,264.830495
380.0,120,265.57453
572.0,168,267.08056
764.0,216,269.328655
892.0,248,278.844571
668.0,192,279.889814
476.0,144,280.544583
380.0,120,294.011542
956.0,264,295.285679
284.0,96,295.899556
380.0,120,296.55184
348.0,112,297.0206
636.0,184,298.271804
380.0,120,299.067703
572.0,168,300.195728
380.0,120,301.21155
380.0,120,302.092726
572.0,168,303.63765
284.0,96,304.168749
380.0,120,304.965646
284.0,96,305.708688
444.0,136,306.40984
380.0,120,319.653381
732.0,208,320.691646
476.0,144,321.367864
284.0,96,321.988725
380.0,120,322.753706
636.0,184,323.52766
380.0,120,324.158494
284.0,96,324.55744
284.0,96,325.081558
1052.0,288,326.954615
604.0,176,327.741539
572.0,168,328.704497
380.0,120,329.341819
380.0,120,329.991602
476.0,144,339.276587
284.0,96,339.788735
444.0,136,340.507837
348.0,112,351.137773
476.0,144,352.128655
700.0,200,353.50552
1244.0,336,355.160651
764.0,216,356.343527
316.0,104,356.898567
348.0,112,357.591741
732.0,208,358.858898
444.0,136,359.660781
348.0,112,360.226784
700.0,200,372.588675
1564.0,416,374.814802
1308.0,352,376.66592
284.0,96,377.113735
348.0,112,377.638853
892.0,248,379.105479
508.0,152,379.71787
1084.0,296,381.229376
476.0,144,382.050715
828.0,232,385.209401
476.0,144,385.94397
1212.0,328,387.995552
764.0,216,388.960507
508.0,152,389.861629
