#{"t_start": 1751149261.2292204, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
72.0,120,3.430823
85.0,120,3.778892
62.6,104,3.897574
96.8,152,4.204753
121.0,160,61.850556
96.8,152,62.27143
81.8,152,62.938646
85.0,120,116.181227
107.4,136,118.280611
73.8,112,120.243362
110.0,160,122.513289
73.8,112,162.937159
94.6,144,165.378629
51.4,96,166.725027
141.0,160,169.025873
92.8,152,219.11888
85.0,120,221.004835
61.0,120,222.663398
96.6,144,265.999479
72.2,128,268.560628
94.6,144,270.792658
85.0,120,272.67562
94.6,144,341.766808
138.2,168,344.249169
73.8,112,345.946627
61.0,120,347.580259
94.6,144,391.241469
87.4,136,393.141386
108.6,224,396.715826
85.0,120,442.205146
129.8,152,444.286578
96.2,128,446.414886
61.0,120,448.270921
73.8,112,493.544818
51.4,96,495.082704
70.6,144,497.392525
61.0,120,499.277484
83.4,136,555.413326
51.4,96,556.77269
61.0,120,558.982778
51.4,96,560.519667
51.4,96,606.218427
73.8,112,608.158239
113.8,192,614.069426
129.8,152,621.408797
83.4,136,669.809328
73.8,112,671.535711
51.4,96,672.973864
74.6,144,675.304629
73.8,112,717.991446
51.4,96,719.93026
83.6,144,721.906972
73.8,112,723.405962
67.0,120,763.515673
51.4,96,765.305884
85.0,120,767.091109
61.0,120,768.902264
62.6,104,770.712422
107.4,136,811.314815
85.0,120,813.113006
83.4,136,815.239318
118.6,144,858.725995
73.8,112,860.532163
118.6,144,862.802092
51.4,96,864.4068
87.6,144,914.878793
81.2,168,917.336219
117.8,192,920.06093
96.2,128,922.204198
73.8,112,966.273317
135.0,160,968.866381
68.0,120,970.812176
61.0,120,1015.421849
51.4,96,1017.485331
109.2,168,1020.200068
163.6,184,1022.955697
107.4,136,1066.332668
51.4,96,1067.975274
149.0,200,1071.314343
73.8,112,1121.054293
73.8,112,1122.786659
107.4,136,1124.848145
75.0,120,1126.585498
134.0,160,1166.774995
85.0,120,1168.586151
123.8,152,1171.157274
85.0,120,1173.662571
73.8,112,1239.259109
83.4,136,1241.621788
118.6,144,1243.854814
112.8,152,1246.148678
83.4,136,1344.767883
109.2,168,1347.864599
51.4,96,1349.263856
83.4,136,1401.303654
73.8,112,1403.076912
105.6,144,1405.717848
137.8,192,1408.58817
62.6,104,1703.49632
96.2,128,1706.033534
83.4,136,1708.240629
106.6,144,1710.834691
97.4,136,1775.775979
80.0,120,1778.092783
165.6,224,1781.872671
61.0,120,1853.440235
107.4,136,1856.055241
107.4,136,1858.349104
85.6,144,1860.643966
83.4,136,1921.276779
83.4,136,1923.645444
51.4,96,1925.084594
62.0,120,1927.48617
71.6,144,1983.749671
83.4,136,1986.727705
98.6,144,1988.806146
73.8,112,2048.099541
62.6,104,2050.555971
77.6,144,2052.870779
85.0,120,2055.138713
85.0,120,2057.18424
72.2,128,2124.212946
148.6,184,2127.073295
83.4,136,2129.18365
51.4,96,2190.587402
72.2,128,2192.837382
85.0,120,2194.746277
85.0,120,2196.727976
84.0,120,2267.458778
51.4,96,2269.034563
61.0,120,2271.070118
85.0,120,2273.200419
85.0,120,2275.466358
51.4,96,2338.078877
63.0,120,2340.989092
82.0,120,2343.316865
73.8,112,2344.906612
96.2,128,2409.667385
73.8,112,2411.735851
86.2,128,2413.714559
107.4,136,2416.251772
94.6,144,2504.530635
85.0,120,2506.50635
84.4,136,2508.953803
130.0,160,2511.957768
129.8,152,2577.123457
73.0,120,2579.15602
70.6,144,2581.584523
51.4,96,2641.630906
84.0,120,2643.974638
93.0,160,2647.897145
118.6,144,2651.695982
128.2,168,2749.066527
61.0,120,2751.220764
51.4,96,2753.236372
51.4,96,2755.00165
147.2,208,2824.49975
129.8,152,2827.600456
51.4,96,2829.464469
73.8,112,2831.495038
97.2,168,2899.258777
61.0,120,2901.62046
61.0,120,2903.642052
104.2,168,2975.134816
85.0,120,2977.336926
99.0,160,2980.068618
107.4,136,2982.264744
73.2,128,3028.034316
61.0,120,3030.267343
62.6,104,3032.057553
297.8,432,3108.606792
117.0,160,3111.522991
51.4,96,3154.418251
73.8,112,3156.723086
73.8,112,3158.830449
73.8,112,3160.787215
85.0,120,3162.940455
73.8,112,3209.037151
94.6,144,3211.741916
94.6,144,3214.22627
61.0,120,3216.196002
62.6,104,3260.635133
61.0,120,3262.783385
93.6,144,3265.401382
73.8,112,3267.423972
87.6,144,3312.718813
144.2,168,3316.015994
94.6,144,3318.475415
51.4,96,3378.305376
206.4,216,3382.250822
115.4,176,3385.531048
51.4,96,3432.961177
88.4,136,3435.613084
119.8,192,3439.492706
51.4,96,3441.316827
100.8,152,3485.044858
61.0,120,3487.464387
72.0,120,3489.573745
61.0,120,3492.095997
61.0,120,3545.132131
85.0,120,3547.40904
147.4,216,3551.641718
136.6,184,3604.372669
51.4,96,3606.180833
51.4,96,3607.840393
146.2,168,3610.911179
80.2,168,3655.451039
91.6,144,3658.097959
73.8,112,3660.439695
94.6,144,3704.86187
153.6,184,3708.362506
51.4,96,3710.405044
51.4,96,3712.097516
73.8,112,3714.623758
61.0,120,3759.262354
51.4,96,3761.040598
51.4,96,3762.626356
51.4,96,3764.440504
51.4,96,3766.235702
197.4,256,3813.184119
51.4,96,3815.074064
61.0,120,3817.534482
144.8,192,3885.308195
162.8,192,3888.655241
112.6,224,3935.193756
73.8,112,3937.458697
51.4,96,3939.28581
118.6,144,3942.3925
164.0,200,3988.881148
132.0,160,3991.900072
80.0,120,3994.006438
91.6,144,4108.213945
94.6,144,4111.540048
129.2,168,4115.37479
62.0,120,4118.240125
73.6,144,4163.249729
108.2,168,4167.129351
51.4,96,4169.127009
73.0,120,4214.759945
70.6,144,4217.726011
114.2,168,4221.729302
104.2,168,4224.941709
133.8,192,4270.861878
51.4,96,4273.069971
51.4,96,4274.928001
107.4,136,4327.628035
51.4,96,4331.726073
51.4,96,4334.148592
77.0,120,4336.933145
73.8,112,4340.633246
85.0,120,4382.06143
107.4,136,4384.216665
51.4,96,4386.130545
61.0,120,4388.553066
51.4,96,4442.153471
105.6,144,4443.981581
98.6,144,4446.694325
106.8,192,4450.554998
87.2,168,4507.854683
83.6,144,4511.198874
51.4,96,4514.273756
51.4,96,4517.09282
51.4,96,4570.019509
51.4,96,4572.300003
51.4,96,4574.489727
51.4,96,4575.933928
51.4,96,4577.397567
51.4,96,4622.40496
51.4,96,4624.632588
51.4,96,4626.912581
70.6,144,4629.929623
96.6,144,4678.194412
51.4,96,4680.305854
