#{"t_start": 1752325840.006835, "env_id": "VizdoomHealthGathering-v0"}
r,l,t
109.8,152,5.712725
116.2,168,7.523883
51.4,96,8.529196
73.8,112,224.83388
73.8,112,226.028686
85.0,120,227.136724
93.0,160,228.9409
84.2,168,414.851846
51.4,96,415.863143
94.6,144,418.125095
73.8,112,420.746089
105.8,152,657.168984
85.0,120,658.400692
51.4,96,659.263385
129.8,152,661.058586
61.0,120,899.545962
83.4,136,901.129728
61.0,120,902.854118
103.0,160,904.676246
108.2,168,964.195116
51.4,96,965.135601
51.4,96,966.584727
73.8,112,968.200408
104.2,168,1028.638819
85.0,120,1029.791736
73.8,112,1031.20795
61.0,120,1032.402755
51.4,96,1089.164995
51.4,96,1090.570238
62.6,104,1091.807928
75.0,120,1092.983785
73.8,112,1157.150229
51.4,96,1171.431048
51.4,96,1172.899123
78.0,120,1174.075976
62.6,104,1175.289731
51.4,96,1233.710536
93.4,136,1235.432931
102.6,184,1237.747743
51.4,96,1238.67626
173.6,304,1311.999223
85.0,120,1314.500535
51.4,96,1316.641811
85.0,120,1375.481497
51.4,96,1377.209875
85.0,120,1379.567571
62.6,104,1381.746745
61.0,120,1441.491013
51.4,96,1444.647573
61.0,120,1465.892771
51.4,96,1467.299011
107.4,136,1468.805982
180.6,224,1529.591466
51.4,96,1530.752362
105.6,144,1532.338122
87.4,136,1592.70273
62.6,104,1594.004251
158.6,224,1596.961345
104.6,184,1667.73612
107.4,136,1669.336841
81.8,152,1671.513023
83.4,136,1731.793855
102.6,184,1734.517572
85.0,120,1749.747853
51.4,96,1750.835944
51.4,96,1809.720512
118.2,168,1812.999742
81.8,152,1815.664617
410.0,525,1883.752576
182.2,248,1941.330635
62.6,104,1942.683019
85.0,120,1945.111527
96.2,128,1947.598877
115.4,176,2016.471736
102.6,184,2033.260849
136.0,200,2091.077271
62.6,104,2092.100535
73.6,144,2094.04733
61.0,120,2095.452572
117.0,160,2158.724408
70.6,144,2161.298527
51.4,96,2163.877631
51.4,96,2166.743967
107.4,136,2228.23656
76.0,120,2230.854561
93.0,160,2233.897426
240.6,384,2300.028616
61.0,120,2314.899856
51.4,96,2315.918134
51.4,96,2316.837675
102.6,184,2391.455176
73.8,112,2393.491732
61.0,120,2395.056548
73.8,112,2456.853327
73.8,112,2458.133904
198.2,248,2460.52152
85.0,120,2461.826032
51.4,96,2527.446588
61.0,120,2528.82989
51.4,96,2529.653687
85.0,120,2531.216509
91.4,176,2598.771892
73.8,112,2599.948745
102.6,184,2615.523106
51.4,96,2616.639123
51.4,96,2672.728163
177.8,232,2675.318238
61.0,120,2676.739438
62.6,104,2738.329769
61.0,120,2740.612665
73.8,112,2742.316111
148.2,288,2805.95696
85.0,120,2807.160742
51.4,96,2808.403419
97.8,192,2810.562646
73.8,112,2874.533613
81.8,152,2876.084466
122.8,192,2891.471328
102.6,224,2970.605754
51.4,96,2971.729748
85.0,120,2972.876682
105.8,152,3038.199035
51.4,96,3039.574358
117.8,192,3041.168097
73.8,112,3042.593286
85.0,120,3119.508645
72.2,128,3120.848063
93.0,160,3122.711083
61.0,120,3123.723375
83.4,136,3208.233429
73.8,112,3210.270981
73.8,112,3212.443174
51.4,96,3214.313174
61.0,120,3304.07319
98.0,160,3305.890332
61.0,120,3307.256679
62.6,104,3308.620034
135.2,168,3383.960603
62.6,104,3386.967564
83.4,136,3390.712551
70.6,144,3395.127746
80.2,168,3468.885547
61.0,120,3471.227285
73.8,112,3472.910785
51.4,96,3474.756849
72.2,128,3546.873038
93.0,160,3550.670885
72.2,128,3553.689813
81.0,120,3569.456659
83.4,136,3652.013932
51.4,96,3653.167848
160.2,208,3655.175479
97.4,136,3739.914919
84.6,144,3741.467767
199.0,360,3820.789691
171.4,296,3828.889037
51.4,96,3829.826531
51.4,96,3921.499433
148.2,248,3924.560249
51.4,96,3928.027977
88.2,168,4021.156987
72.2,128,4023.922593
61.0,120,4026.437868
107.6,224,4093.002899
85.0,120,4096.616239
51.4,96,4098.498206
73.8,112,4099.553389
75.6,144,4177.746327
51.4,96,4179.019923
85.0,120,4180.563795
51.4,96,4181.695769
96.2,128,4183.129934
85.0,120,4255.038678
61.0,120,4257.799297
83.4,136,4260.057261
73.8,112,4262.013031
117.6,224,4356.156329
62.6,104,4357.067892
51.4,96,4358.502057
80.2,168,4440.508802
73.8,112,4441.850217
125.8,152,4443.724206
105.8,152,4445.632105
61.0,120,4527.48227
114.2,168,4529.351273
72.2,128,4530.753523
62.6,104,4532.658432
80.6,144,4618.710361
51.4,96,4619.953038
73.8,112,4621.400169
73.8,112,4622.803421
51.4,96,4715.909489
73.8,112,4733.204249
61.0,120,4735.583887
96.2,128,4738.003418
73.8,112,4801.483697
107.2,168,4803.422513
61.0,120,4804.884604
80.2,168,4806.874284
73.8,112,4894.123014
93.0,160,4895.804519
62.6,104,4896.874658
107.4,136,4898.321788
51.4,96,4977.356481
73.8,112,4981.16829
126.4,216,4988.141646
61.0,120,5068.007116
74.6,144,5069.889084
73.8,112,5084.655605
118.6,144,5086.320154
73.8,112,5163.946611
70.6,144,5165.418675
93.6,144,5166.834889
72.2,128,5168.149375
51.4,96,5255.321311
129.8,152,5260.560304
107.4,136,5262.747457
61.0,120,5263.943259
83.4,136,5340.152505
63.0,120,5342.319711
85.0,120,5344.038116
62.6,104,5345.902134
61.0,120,5428.187135
159.4,216,5453.885427
51.4,96,5454.940607
51.4,96,5456.118457
62.0,120,5539.844605
118.6,144,5541.557028
96.2,128,5542.927364
107.4,136,5544.550025
113.8,152,5624.265896
118.6,144,5626.005246
107.4,136,5627.377577
85.0,120,5715.46008
72.0,120,5719.354666
51.4,96,5722.261893
145.2,168,5724.315403
148.2,168,5816.969682
51.4,96,5820.477303
96.2,128,5846.37606
173.0,200,5927.843248
51.4,96,5929.448955
73.8,112,5931.710907
85.0,120,5933.833234
85.0,120,5934.937281
72.2,128,6023.466589
73.8,112,6026.910382
73.0,120,6028.154055
61.0,120,6029.318942
100.2,168,6111.837319
73.8,112,6112.650146
93.2,168,6114.397475
105.8,152,6203.968995
73.8,112,6205.400168
96.2,128,6207.035795
73.8,112,6222.723852
96.2,128,6314.323949
129.8,152,6315.894749
85.0,120,6317.160365
70.6,144,6318.354173
71.6,144,6399.979938
131.4,296,6403.596269
94.6,144,6493.951694
98.6,144,6495.521497
77.2,128,6496.919759
83.4,136,6498.414761
51.4,96,6573.206797
62.6,104,6574.21211
153.2,168,6577.450451
102.8,192,6623.923201
51.4,96,6696.535065
102.6,184,6698.832921
83.4,136,6700.166356
97.6,144,6786.01483
73.8,112,6787.330313
85.0,120,6788.872191
85.0,120,6790.286411
51.4,96,6791.225898
85.0,120,6860.76797
85.0,120,6862.086445
93.0,160,6864.381309
51.4,96,6865.132301
62.6,104,6928.286452
73.8,112,6932.519135
73.8,112,6935.87616
61.0,120,6952.383026
73.8,112,7023.256538
96.2,128,7025.018826
70.6,144,7026.500864
51.4,96,7027.372534
51.4,96,7103.651593
84.0,120,7105.189481
108.6,144,7106.983685
96.2,128,7108.752954
83.0,120,7195.606741
51.4,96,7199.466422
51.4,96,7202.986012
73.8,112,7207.482988
88.6,144,7213.276498
85.0,120,7278.255769
51.4,96,7279.358821
96.2,128,7280.856815
61.0,120,7282.121434
51.4,96,7364.045401
91.4,176,7369.983525
85.0,120,7373.374459
61.0,120,7375.267398
51.4,96,7440.07812
98.4,136,7442.130632
51.4,96,7442.949443
97.8,192,7445.039853
139.8,192,7526.879047
51.4,96,7528.046926
96.2,128,7529.687538
98.4,136,7593.907839
88.6,144,7598.163461
51.4,96,7600.799413
51.4,96,7604.009829
51.4,96,7607.259143
104.2,168,7704.411396
51.4,96,7705.496493
105.8,152,7707.858179
51.4,96,7709.352185
82.2,168,7796.102249
61.0,120,7799.241855
80.0,120,7801.124821
62.6,104,7802.932986
85.0,120,7869.858055
51.4,96,7871.169548
51.4,96,7872.429181
70.6,144,7874.335085
96.2,128,7960.859751
51.4,96,7961.950835
51.4,96,7962.93221
61.0,120,7964.129011
70.6,144,8053.30459
61.0,120,8078.471304
61.0,120,8079.22828
84.0,120,8080.725277
73.8,112,8081.67075
100.4,136,8158.785574
51.4,96,8159.761964
72.2,128,8161.212087
51.4,96,8163.152899
61.0,120,8253.52827
51.4,96,8254.634312
51.4,96,8255.721406
51.4,96,8256.613022
61.0,120,8257.792867
85.0,120,8342.952185
75.0,120,8346.39498
61.0,120,8350.193823
105.2,168,8425.791704
51.4,96,8427.2518
61.0,120,8445.464107
80.2,168,8447.525596
104.4,136,8541.869357
70.0,120,8543.115026
51.4,96,8543.698467
51.4,96,8544.755641
61.0,120,8546.271588
61.0,120,8619.862833
77.0,120,8623.083223
61.0,120,8627.077544
51.4,96,8630.023667
51.4,96,8716.184307
51.4,96,8717.556638
114.6,224,8719.831556
84.0,120,8721.386398
74.0,120,8820.432588
63.0,120,8836.347038
72.2,128,8838.081401
85.6,144,8839.686111
51.4,96,8912.068588
104.6,144,8913.826887
51.4,96,8914.793303
73.8,112,8916.049943
51.4,96,8974.254328
61.0,120,8976.23603
73.6,144,8979.348707
71.6,144,8982.498286
96.4,136,9045.344261
80.2,168,9048.03008
73.6,144,9050.630128
51.4,96,9051.860838
61.0,120,9115.746034
70.6,144,9131.776175
51.4,96,9132.82936
51.4,96,9134.029152
61.0,120,9198.969527
51.4,96,9200.286007
51.4,96,9201.185601
70.6,144,9202.857132
51.4,96,9204.011048
51.4,96,9269.230675
51.4,96,9270.618963
61.0,120,9272.021215
51.4,96,9274.277183
98.4,136,9339.13478
51.4,96,9340.076262
51.4,96,9341.411691
51.4,96,9342.535687
51.4,96,9343.630758
87.6,144,9410.182824
51.4,96,9411.101368
51.4,96,9412.478685
70.6,144,9434.757122
70.6,144,9490.022364
98.4,136,9492.995415
61.0,120,9495.186557
51.4,96,9496.689539
51.4,96,9497.759677
51.4,96,9554.716398
85.0,120,9556.053823
97.6,144,9557.770233
72.2,128,9559.34602
61.0,120,9618.539759
92.6,144,9620.402777
74.6,144,9621.937673
83.6,144,9681.180283
95.4,136,9682.919632
51.4,96,9683.834187
106.6,144,9702.719694
70.6,144,9761.75785
51.4,96,9763.14913
51.4,96,9764.40178
51.4,96,9765.263476
51.4,96,9766.31666
51.4,96,9833.498044
51.4,96,9834.890322
51.4,96,9836.046231
73.8,112,9837.66989
87.6,144,9840.570135
62.6,104,9903.982595
51.4,96,9905.436708
61.0,120,9906.790089
51.4,96,9907.826319
51.4,96,9909.200645
61.0,120,9976.041936
51.4,96,9977.128033
63.0,120,9978.606081
51.4,96,9992.996606
109.6,144,10054.976895
61.0,120,10056.475888
78.0,120,10058.339904
61.0,120,10059.657382
51.4,96,10061.068608
51.4,96,10125.684849
80.0,120,10127.554849
88.6,144,10128.897261
51.4,96,10129.830765
85.0,120,10192.361582
51.4,96,10194.70731
51.4,96,10197.083956
51.4,96,10198.199972
130.0,160,10258.081872
51.4,96,10259.771354
85.0,120,10262.210835
51.4,96,10263.25504
51.4,96,10277.678477
85.0,120,10343.645109
51.4,96,10344.764116
96.2,128,10346.540368
51.4,96,10347.815957
61.0,120,10349.675984
61.0,120,10412.695495
51.4,96,10413.577138
61.0,120,10414.615362
51.4,96,10415.6855
61.0,120,10472.677127
51.4,96,10474.29181
87.6,144,10475.947384
61.0,120,10477.129224
51.4,96,10477.992914
73.0,120,10547.079204
61.0,120,10548.5772
51.4,96,10549.442886
51.4,96,10550.878048
51.4,96,10624.805395
51.4,96,10626.0381
93.2,128,10627.880175
51.4,96,10629.207625
51.4,96,10630.434345
51.4,96,10687.564601
51.4,96,10688.520047
51.4,96,10689.257076
51.4,96,10690.199557
61.0,120,10691.957855
51.4,96,10763.914471
66.0,120,10764.888866
51.4,96,10765.564061
70.6,144,10767.498888
51.4,96,10768.548084
100.6,144,10830.952238
51.4,96,10832.422309
98.2,168,10834.120767
62.6,104,10915.210963
61.0,120,10916.668067
61.0,120,10918.210942
51.4,96,10919.36386
51.4,96,10920.464916
61.0,120,10972.870803
51.4,96,10974.045663
51.4,96,10974.766735
61.0,120,10976.009412
61.0,120,10977.341849
51.4,96,11019.639761
85.0,120,11020.702919
51.4,96,11021.421
61.0,120,11022.499117
51.4,96,11077.106119
51.4,96,11077.697537
51.4,96,11078.605111
90.8,152,11079.832829
61.0,120,11080.892994
51.4,96,11133.713772
67.0,120,11134.712103
51.4,96,11135.755313
51.4,96,11136.371666
51.4,96,11137.144599
