Episodio,Puntaje
1,[2536.]
2,[1496.]
3,[2399.]
4,[1727.]
5,[2376.]
6,[2238.]
7,[2243.]
8,[2084.]
9,[2081.]
10,[2370.]
11,[2416.]
12,[2242.]
13,[1551.]
14,[1051.]
15,[1809.]
16,[1918.]
17,[307.]
18,[1770.]
19,[2437.]
20,[2111.]
21,[2442.]
22,[694.]
23,[2107.]
24,[1063.]
25,[2435.]
26,[2460.]
27,[703.]
28,[2423.]
29,[963.]
30,[2427.]
31,[1811.]
32,[2378.]
33,[1199.]
34,[2150.]
35,[2061.]
36,[2108.]
37,[1583.]
38,[915.]
39,[2142.]
40,[2376.]
41,[2234.]
42,[2384.]
43,[2113.]
44,[1312.]
45,[2437.]
46,[2406.]
47,[2098.]
48,[595.]
49,[2390.]
50,[2238.]
51,[2098.]
52,[1770.]
53,[2437.]
54,[2084.]
55,[2270.]
56,[2395.]
57,[2437.]
58,[2174.]
59,[2390.]
60,[347.]
61,[1770.]
62,[2037.]
63,[1414.]
64,[1583.]
65,[1744.]
66,[2458.]
67,[1849.]
68,[2101.]
69,[2211.]
70,[2395.]
71,[1676.]
72,[1903.]
73,[2431.]
74,[2270.]
75,[2428.]
76,[2249.]
77,[2478.]
78,[2564.]
79,[1578.]
80,[2387.]
81,[2416.]
82,[1583.]
83,[1798.]
84,[1220.]
85,[1583.]
86,[2142.]
87,[2374.]
88,[1770.]
89,[1192.]
90,[1613.]
91,[1644.]
92,[1583.]
93,[2436.]
94,[2495.]
95,[2427.]
96,[2095.]
97,[2376.]
98,[2387.]
99,[2020.]
100,[2535.]
101,[448.]
102,[2332.]
103,[1080.]
104,[922.]
105,[2318.]
106,[831.]
107,[2390.]
108,[2399.]
109,[2076.]
110,[2363.]
111,[2323.]
112,[2352.]
113,[1643.]
114,[2376.]
115,[816.]
116,[2398.]
117,[307.]
118,[1519.]
119,[2359.]
120,[2217.]
121,[2389.]
122,[1578.]
123,[2390.]
124,[483.]
125,[2425.]
126,[2268.]
127,[1201.]
128,[2437.]
129,[2432.]
130,[2383.]
131,[2491.]
132,[2376.]
133,[1921.]
134,[1167.]
135,[2242.]
136,[2420.]
137,[1593.]
138,[2442.]
139,[1583.]
140,[2423.]
141,[2174.]
142,[2098.]
143,[2228.]
144,[523.]
145,[2401.]
146,[1465.]
147,[2242.]
148,[1396.]
149,[507.]
150,[1139.]
151,[2090.]
152,[2497.]
153,[2193.]
154,[2106.]
155,[2356.]
156,[2398.]
157,[2401.]
158,[2193.]
159,[1583.]
160,[826.]
161,[2425.]
162,[1635.]
163,[2210.]
164,[2430.]
165,[2399.]
166,[1944.]
167,[2399.]
168,[2397.]
169,[2423.]
170,[1361.]
171,[2399.]
172,[2230.]
173,[2437.]
174,[2186.]
175,[2102.]
176,[2376.]
177,[1578.]
178,[1583.]
179,[2364.]
180,[403.]
181,[2402.]
182,[2500.]
183,[2544.]
184,[2435.]
185,[2404.]
186,[2423.]
187,[2349.]
188,[592.]
189,[2247.]
190,[2418.]
191,[2193.]
192,[1583.]
193,[2401.]
194,[483.]
195,[403.]
196,[2287.]
197,[2390.]
198,[2410.]
199,[1512.]
200,[1110.]
201,[547.]
202,[2401.]
203,[2256.]
204,[2270.]
205,[2238.]
206,[2109.]
207,[2492.]
208,[2425.]
209,[2430.]
210,[2442.]
211,[2450.]
212,[897.]
213,[2437.]
214,[2430.]
215,[2101.]
216,[2257.]
217,[1385.]
218,[1806.]
219,[698.]
220,[2425.]
221,[2428.]
222,[2390.]
223,[2480.]
224,[2041.]
225,[1327.]
226,[2375.]
227,[2084.]
228,[950.]
229,[2390.]
230,[2106.]
231,[813.]
232,[1770.]
233,[1117.]
234,[2414.]
235,[307.]
236,[2376.]
237,[2390.]
238,[2437.]
239,[2376.]
240,[2442.]
241,[2401.]
242,[2115.]
243,[2098.]
244,[985.]
245,[2518.]
246,[2380.]
247,[2273.]
248,[2442.]
249,[1775.]
250,[2098.]
251,[2101.]
252,[499.]
253,[2376.]
254,[2433.]
255,[2405.]
256,[1405.]
257,[2450.]
258,[1583.]
259,[2437.]
260,[1742.]
261,[2398.]
262,[2338.]
263,[1863.]
264,[1583.]
265,[1803.]
266,[1131.]
267,[2496.]
268,[2390.]
269,[2416.]
270,[1498.]
271,[1529.]
272,[2193.]
273,[2102.]
274,[2417.]
275,[1888.]
276,[1453.]
277,[2392.]
278,[1050.]
279,[2438.]
280,[2379.]
281,[2433.]
282,[2226.]
283,[2217.]
284,[2114.]
285,[2210.]
286,[2101.]
287,[2454.]
288,[1583.]
289,[1973.]
290,[2205.]
291,[830.]
292,[1336.]
293,[2177.]
294,[2442.]
295,[2425.]
296,[2352.]
297,[2270.]
298,[2376.]
299,[2390.]
300,[2084.]
301,[2204.]
302,[2388.]
303,[773.]
304,[1792.]
305,[2196.]
306,[2396.]
307,[1991.]
308,[880.]
309,[1656.]
310,[2423.]
311,[2323.]
312,[2459.]
313,[727.]
314,[2249.]
315,[2404.]
316,[2316.]
317,[2404.]
318,[2451.]
319,[2422.]
320,[2503.]
321,[2109.]
322,[1002.]
323,[2095.]
324,[2364.]
325,[2390.]
326,[1583.]
327,[2172.]
328,[1775.]
329,[1571.]
330,[1426.]
331,[2398.]
332,[499.]
333,[403.]
334,[347.]
335,[2498.]
336,[2389.]
337,[2083.]
338,[2241.]
339,[403.]
340,[2396.]
341,[1831.]
342,[995.]
343,[1045.]
344,[2398.]
345,[2194.]
346,[2210.]
347,[2146.]
348,[2398.]
349,[2378.]
350,[2430.]
351,[2397.]
352,[2385.]
353,[2365.]
354,[1583.]
355,[2296.]
356,[2400.]
357,[2082.]
358,[307.]
359,[2399.]
360,[387.]
361,[2389.]
362,[1827.]
363,[1128.]
364,[2399.]
365,[2270.]
366,[538.]
367,[2390.]
368,[2098.]
369,[2399.]
370,[2207.]
371,[2194.]
372,[926.]
373,[347.]
374,[703.]
375,[2399.]
376,[2389.]
377,[2390.]
378,[1841.]
379,[2132.]
380,[2134.]
381,[2101.]
382,[2398.]
383,[2432.]
384,[2013.]
385,[2536.]
386,[2532.]
387,[619.]
388,[2390.]
389,[2501.]
390,[2417.]
391,[2376.]
392,[2366.]
