Episodio,Puntaje
1,[1340.]
2,[2546.]
3,[2595.]
4,[2580.]
5,[2593.]
6,[2544.]
7,[2578.]
8,[2487.]
9,[1700.]
10,[982.]
11,[2593.]
12,[2566.]
13,[925.]
14,[2524.]
15,[753.]
16,[2483.]
17,[2519.]
18,[2568.]
19,[2571.]
20,[2462.]
21,[2585.]
22,[2483.]
23,[2517.]
24,[427.]
25,[2600.]
26,[2539.]
27,[2592.]
28,[2568.]
29,[2576.]
30,[982.]
31,[1461.]
32,[2600.]
33,[2133.]
34,[982.]
35,[2431.]
36,[2564.]
37,[2543.]
38,[2536.]
39,[2086.]
40,[1947.]
41,[1006.]
42,[982.]
43,[2536.]
44,[2086.]
45,[2524.]
46,[2546.]
47,[982.]
48,[739.]
49,[982.]
50,[2568.]
51,[2600.]
52,[2504.]
53,[2571.]
54,[2617.]
55,[1947.]
56,[1006.]
57,[2536.]
58,[2540.]
59,[2564.]
60,[2251.]
61,[2563.]
62,[2549.]
63,[2568.]
64,[2563.]
65,[387.]
66,[1964.]
67,[2532.]
68,[2536.]
69,[2553.]
70,[659.]
71,[2487.]
72,[2542.]
73,[2607.]
74,[2598.]
75,[2592.]
76,[1551.]
77,[932.]
78,[2585.]
79,[972.]
80,[2580.]
81,[2600.]
82,[2619.]
83,[2520.]
84,[1797.]
85,[2483.]
86,[2616.]
87,[2489.]
88,[2540.]
89,[2483.]
90,[1006.]
91,[2585.]
92,[858.]
93,[2512.]
94,[2607.]
95,[2563.]
96,[2483.]
97,[2577.]
98,[2585.]
99,[2611.]
100,[2572.]
101,[1803.]
102,[2621.]
103,[2568.]
104,[2564.]
105,[2594.]
106,[2573.]
107,[2522.]
108,[1006.]
109,[2571.]
110,[2175.]
111,[2526.]
112,[2540.]
113,[2545.]
114,[2566.]
115,[2560.]
116,[1708.]
117,[2556.]
118,[2572.]
119,[1730.]
120,[2570.]
121,[2068.]
122,[2545.]
123,[1737.]
124,[982.]
125,[2584.]
126,[1721.]
127,[1924.]
128,[2576.]
129,[2575.]
130,[2567.]
131,[2582.]
132,[2500.]
133,[2554.]
134,[2581.]
135,[2568.]
136,[2578.]
137,[2531.]
138,[982.]
139,[2564.]
140,[2613.]
141,[2532.]
142,[1964.]
143,[2594.]
144,[2086.]
145,[2557.]
146,[1003.]
147,[1837.]
148,[2059.]
149,[2563.]
150,[1787.]
151,[2557.]
152,[2561.]
153,[2484.]
154,[2537.]
155,[2449.]
156,[2537.]
157,[2541.]
158,[2521.]
159,[2544.]
160,[1464.]
161,[982.]
162,[2502.]
163,[2551.]
164,[747.]
165,[2565.]
166,[2470.]
167,[2606.]
168,[2568.]
169,[2560.]
170,[2570.]
171,[2560.]
172,[2530.]
173,[2532.]
174,[2586.]
175,[2504.]
176,[2556.]
177,[2527.]
178,[2561.]
179,[2487.]
180,[2561.]
181,[2594.]
182,[2586.]
183,[2582.]
184,[2560.]
185,[982.]
186,[2520.]
187,[2613.]
188,[2619.]
189,[2619.]
190,[987.]
191,[1006.]
192,[2576.]
193,[2483.]
194,[2519.]
195,[2548.]
196,[2568.]
197,[2483.]
198,[2615.]
199,[2540.]
200,[2590.]
201,[2559.]
202,[2565.]
203,[2572.]
204,[2564.]
205,[1082.]
206,[2564.]
207,[2573.]
208,[2568.]
209,[2566.]
210,[2504.]
211,[2600.]
212,[2507.]
213,[2536.]
214,[2593.]
215,[2583.]
216,[2306.]
217,[2572.]
218,[2592.]
219,[2609.]
220,[2579.]
221,[2583.]
222,[2597.]
223,[2502.]
224,[2539.]
225,[982.]
226,[2537.]
227,[1006.]
228,[2551.]
229,[916.]
230,[2493.]
231,[307.]
232,[2455.]
233,[982.]
234,[2621.]
235,[2526.]
236,[2545.]
237,[2567.]
238,[2263.]
239,[2068.]
240,[2582.]
241,[2577.]
242,[2481.]
243,[1006.]
244,[2499.]
245,[2525.]
246,[2597.]
247,[2563.]
248,[982.]
249,[2091.]
250,[2488.]
251,[2068.]
252,[2579.]
253,[2564.]
254,[2546.]
255,[2592.]
256,[2489.]
257,[2494.]
258,[2569.]
259,[2216.]
260,[2261.]
261,[2582.]
262,[2579.]
263,[2561.]
264,[2467.]
265,[2564.]
266,[2511.]
267,[2586.]
268,[2593.]
269,[2546.]
270,[2617.]
271,[2602.]
272,[982.]
273,[1961.]
274,[2543.]
275,[2570.]
276,[2573.]
277,[982.]
278,[2388.]
279,[2570.]
280,[2489.]
281,[2544.]
282,[2576.]
283,[2550.]
284,[1639.]
285,[1964.]
286,[2508.]
287,[2597.]
288,[1884.]
289,[1023.]
290,[2511.]
291,[2541.]
292,[2563.]
293,[2564.]
294,[1015.]
295,[2563.]
296,[2604.]
297,[1947.]
298,[2578.]
299,[467.]
300,[2572.]
301,[2584.]
302,[1948.]
303,[2348.]
304,[2612.]
305,[2584.]
306,[2584.]
307,[2562.]
308,[915.]
309,[1209.]
310,[2205.]
311,[1319.]
312,[964.]
313,[2531.]
314,[2529.]
315,[2586.]
316,[2614.]
317,[2555.]
318,[2539.]
319,[2587.]
320,[2401.]
321,[2530.]
322,[2068.]
323,[2280.]
324,[1006.]
325,[1026.]
326,[2584.]
327,[2578.]
328,[2496.]
329,[982.]
330,[2546.]
331,[2263.]
332,[2508.]
333,[2513.]
334,[2525.]
335,[2549.]
336,[2068.]
337,[2588.]
338,[1386.]
339,[2565.]
340,[2388.]
341,[418.]
342,[2576.]
343,[2471.]
344,[2549.]
345,[2596.]
346,[1006.]
347,[2599.]
348,[2602.]
349,[2570.]
350,[2608.]
351,[1006.]
352,[2565.]
353,[2601.]
354,[2551.]
355,[2574.]
356,[2515.]
357,[2573.]
358,[2549.]
359,[2597.]
360,[2620.]
361,[387.]
362,[2493.]
363,[2519.]
364,[2580.]
365,[2586.]
366,[2491.]
367,[1083.]
368,[1384.]
369,[982.]
370,[2552.]
371,[900.]
372,[2565.]
373,[2591.]
374,[387.]
375,[2568.]
376,[1044.]
377,[2579.]
378,[2560.]
379,[2516.]
380,[2569.]
381,[2624.]
382,[2548.]
383,[2525.]
384,[2556.]
385,[982.]
386,[1006.]
387,[2571.]
388,[982.]
389,[2498.]
390,[2263.]
391,[1282.]
392,[2540.]
393,[2596.]
394,[2585.]
395,[2549.]
396,[2584.]
397,[347.]
398,[2503.]
399,[1614.]
400,[2563.]
401,[639.]
402,[2538.]
403,[2596.]
404,[2543.]
405,[2610.]
406,[2513.]
407,[1948.]
408,[2616.]
409,[2618.]
410,[2559.]
411,[1808.]
412,[1884.]
413,[704.]
414,[2569.]
415,[2621.]
416,[2519.]
417,[2539.]
418,[2562.]
419,[387.]
420,[2551.]
421,[2524.]
422,[982.]
423,[2553.]
424,[2546.]
425,[1499.]
426,[2534.]
427,[2540.]
428,[2614.]
429,[2062.]
430,[2555.]
431,[1924.]
432,[2512.]
433,[1489.]
434,[2561.]
435,[2613.]
436,[2586.]
437,[2576.]
438,[2594.]
439,[895.]
440,[2512.]
441,[2560.]
442,[1006.]
443,[2268.]
444,[2589.]
445,[467.]
446,[982.]
447,[2588.]
448,[1006.]
449,[2513.]
450,[2513.]
451,[2561.]
452,[2618.]
453,[2567.]
454,[2554.]
455,[2569.]
456,[1990.]
457,[2494.]
458,[974.]
459,[1006.]
460,[2538.]
461,[1811.]
462,[2104.]
463,[2594.]
464,[2487.]
465,[2507.]
466,[2594.]
467,[2561.]
468,[2560.]
469,[2565.]
470,[2572.]
471,[2563.]
472,[2538.]
473,[2573.]
474,[2584.]
475,[1626.]
476,[1006.]
477,[2550.]
478,[2547.]
479,[756.]
480,[982.]
481,[2542.]
482,[2555.]
483,[2551.]
484,[2571.]
485,[2511.]
486,[2547.]
487,[307.]
488,[2546.]
489,[2503.]
490,[2540.]
491,[2068.]
492,[2263.]
