#{"t_start": 1752536733.7861712, "env_id": "VizdoomPredictPosition-v0"}
r,l,t
-15.0093,21,4.897842
-18.0105,24,5.475801
-5.9058,12,5.808923
-14.0089,20,6.243809
-13.0085,19,6.632175
-16.0097,22,7.124944
-8.907,15,7.380922
-21.0117,27,7.700557
-13.0085,19,8.320305
-10.0073,16,8.627266
-3.9049,10,8.940444
50.9931,15,9.554473
--1.0077,17,10.002834
-15.0093,21,9.520486
--16.0097,22,10.617354-15.0093,21,10.199083
-13.0085,19,10.630705
-11.0077,17,11.159005
-11.0077,17,11.494105
-15.0093,21,12.005903
-16.0097,22,12.374349
-13.0085,19,12.884615
-10.0073,16,13.442938
-19.0109,25,14.016141
-10.0073,16,14.569553
-1.0077,17,14.952985
085,19,15.682997
