#{"t_start": 1751109197.9007502, "env_id": "VizdoomTakeCover-v0"}
r,l,t
22.0,55,7.206723
-0.4,124,7.48099
-21.4,72,7.741293
-34.1,40,7.792158
-22.6,69,8.003592
-9.6,101,8.28484
26.0,65,36.477427
17.9,45,36.58115
-24.0,65,36.765656
3.0,133,36.983075
-20.9,73,37.08181
26.0,65,37.362061
4.4,136,68.490794
-15.5,87,68.805951
-27.2,57,68.936602
-36.4,34,69.022372
-20.4,74,69.292649
-25.9,61,69.403354
-22.2,70,69.537993
-59.1,103,99.725246
27.0,68,99.948648
-24.6,64,100.226903
0.3,126,100.846247
-17.7,81,101.074636
4.2,136,138.389822
29.6,74,138.5853
-17.6,81,138.874525
-21.0,73,139.603575
-9.9,101,140.038412
-20.9,73,140.351574
-12.8,93,141.25416
-26.9,58,171.144207
-28.7,54,171.437423
-2.9,118,171.715678
61.3,279,204.047195
23.9,60,204.436155
39.2,223,205.520255
10.3,26,205.684814
-9.6,101,205.851369
23.2,58,205.94412
-3.0,118,237.450844
-22.5,69,237.566534
-19.9,76,237.745057
27.0,68,237.891664
20.0,175,238.312539
17.4,44,279.072511
1.0,128,279.369715
-22.9,68,279.534275
21.1,53,279.667917
-28.6,54,279.753687
-49.0,128,280.063858
9.4,149,308.12779
-17.8,81,308.423
-17.8,81,308.670338
-22.7,69,308.885762
-14.6,89,309.09221
-3.4,117,341.290084
10.9,28,341.406772
10.3,26,341.445667
9.4,24,341.509497
-24.4,64,341.649124
-22.4,69,341.780771
-10.1,100,342.075982
-25.1,63,342.380168
-16.5,84,380.422409
-31.8,46,380.622873
18.9,48,380.733576
-29.7,51,380.86323
27.4,69,381.03876
-16.6,84,381.223267
-0.1,125,381.551389
2.7,132,414.903176
4.0,135,415.171459
-21.5,72,415.331032
-21.1,73,415.57837
-9.8,101,415.859617
-22.1,70,450.053154
-61.6,96,450.352353
27.2,68,450.591714
-61.9,96,450.783202
0.1,126,451.060459
-32.7,44,451.12728
-122.7,69,483.266312
-68.1,80,483.463783
-10.0,100,483.709128
1.1,128,484.058194
-17.5,82,484.476077
-11.3,97,484.860048
-14.3,90,512.364478
-94.9,138,512.710552
-30.2,50,512.904035
-16.9,83,513.211213
31.8,80,513.539335
-58.7,104,547.799692
-21.3,72,548.058998
15.5,39,548.314316
-16.7,84,548.518768
32.8,82,548.775083
19.2,48,548.851877
-10.8,98,549.088245
-7.7,106,578.600303
-8.7,104,578.927429
3.4,134,579.335337
18.2,46,579.441054
-25.4,62,579.590654
-9.7,101,612.126624
-71.9,71,612.298164
-22.2,70,612.401888
24.3,61,612.564452
29.6,74,612.791845
19.7,50,612.886591
7.4,144,613.126948
-16.5,84,640.901654
-23.4,67,641.025322
27.9,70,641.484096
22.6,57,641.962816
-18.5,79,642.408623
