#{"t_start": 1752660851.000786, "env_id": "VizdoomTakeCover-v0"}
r,l,t
-10.6,99,7.919875
-77.9,56,8.647928
-25.4,62,9.591403
28.0,70,10.759279
-0.4,124,12.581404
-21.0,73,13.409189
-24.9,63,38.332505
-22.4,69,39.013683
-26.4,59,39.487415
21.5,54,40.108753
-17.6,81,40.673243
-24.8,63,41.097109
13.5,34,41.741385
21.4,54,42.526285
-63.2,92,69.265743
-9.8,101,70.597181
9.8,150,72.069242
-18.3,80,73.219166
-22.4,69,74.004066
-25.7,61,97.201
-27.1,58,97.482248
-22.5,69,97.960968
-18.6,79,98.713953
-7.7,106,99.702309
-24.8,63,100.166069
24.4,61,100.740531
-17.9,81,120.548534
-64.3,90,129.999248
-66.7,84,130.724309
-4.7,114,131.589993
-25.3,62,132.758865
27.1,68,134.014506
21.7,55,155.371365
-0.8,123,156.278937
-20.9,73,157.001005
-16.6,84,157.804854
-9.0,103,158.615685
-9.6,101,159.526248
-149.3,127,184.12643
-21.0,73,184.741783
24.8,62,185.189585
-9.0,103,186.00241
29.6,74,186.674612
-9.7,101,218.354851
-16.8,83,218.974194
-19.9,76,219.61448
-21.3,72,220.231828
18.8,47,220.592863
-17.8,81,221.134414
-20.0,75,221.67397
-12.9,93,246.646157
17.6,44,248.613892
-23.4,67,249.248195
-113.8,91,249.980236
-27.7,56,250.528769
-22.7,69,250.978565
-16.7,84,251.635807
3.8,135,276.380601
45.4,114,277.291165
-21.1,73,278.111968
-21.2,72,278.830047
-20.8,73,279.417476
-20.9,73,298.857463
-19.9,76,299.724145
-24.9,63,301.102457
24.5,62,302.138685
-22.4,69,303.592794
-12.5,94,305.166584
-28.1,55,306.333462
24.9,63,307.219092
-9.5,102,327.098903
-20.9,73,327.65342
19.7,50,328.168042
-18.7,79,328.65474
-10.3,100,329.552339
26.7,67,330.15373
24.8,62,355.925776
-28.1,55,356.54113
16.7,42,356.970979
26.1,66,359.637844
-59.5,102,360.740893
-28.1,55,361.222605
-24.2,65,361.86688
-28.1,55,362.320666
-35.8,36,362.627844
-23.0,68,384.219077
-23.0,68,385.165544
-12.8,93,387.088401
25.3,64,387.853353
24.5,62,388.342045
-11.8,96,389.225681
-22.9,68,419.146628
-20.8,73,420.352401
-12.6,94,421.272938
16.8,42,421.790554
-21.9,71,422.793869
-32.3,45,423.172854
-73.5,67,424.063472
-20.5,74,425.060803
-12.2,95,449.185258
-28.2,55,449.63306
-21.2,72,450.313239
-78.6,54,450.629393
-28.1,55,451.116092
19.6,49,451.676592
-24.3,65,452.342809
-22.9,68,453.140676
-28.1,55,477.64212
-48.1,130,479.652741
-28.4,54,483.863475
-0.7,124,484.954556
-39.4,152,508.212329
-20.4,74,509.080008
-22.7,69,510.031462
-17.0,83,510.482256
10.9,28,510.691695
-21.2,72,511.385839
-31.1,48,511.753854
-15.2,87,512.762156
-21.9,71,539.376948
22.6,57,540.077074
-15.3,87,540.976668
21.1,178,542.737955
-20.2,75,543.502908
-16.5,84,571.062173
-16.6,84,571.817153
-24.0,65,572.601056
36.0,90,573.639277
5.8,140,574.542861
-20.8,73,575.295846
-21.2,72,598.019049
-22.6,69,599.218839
-28.1,55,600.009723
-21.1,73,606.932202
-33.1,43,608.426204
21.1,53,609.542219
-30.8,48,611.116008
16.3,41,612.288871
-23.1,68,614.503942
-10.0,100,637.40866
24.1,61,638.151672
13.2,33,638.535645
4.9,138,639.641686
19.5,174,666.051027
-63.3,92,667.041378
-17.2,82,667.907061
11.3,29,668.212244
-21.0,73,668.803663
1.4,129,670.230844
19.0,48,670.644737
37.9,95,696.995235
-16.7,84,697.829005
-6.7,109,698.696683
-16.6,84,699.555385
-48.6,129,700.359236
21.7,55,721.227401
-25.7,61,721.743021
-4.5,114,723.161227
-20.3,75,723.829439
-22.9,68,728.41916
17.2,43,728.723346
-28.1,55,729.14023
-21.5,72,729.813429
-36.9,33,756.385335
20.3,51,756.875025
-28.2,55,757.748688
27.7,70,758.658255
-21.2,72,759.649602
-15.3,87,760.393611
-6.4,109,761.099722
8.4,146,788.53033
-20.9,73,789.127732
-23.3,67,789.560574
25.1,63,790.172935
-20.8,73,790.796268
-21.4,72,791.417605
-22.7,69,826.017033
-23.0,68,826.833849
-21.2,72,827.399336
14.6,37,827.748401
19.9,50,828.310897
-5.4,112,829.443866
-10.0,100,830.566861
-4.5,114,852.188012
-20.9,73,852.963937
-0.2,125,854.176692
-21.6,71,867.818193
32.7,82,868.424571
-12.1,95,894.211577
-10.0,100,895.430316
20.8,52,895.761432
-28.7,54,896.207238
-21.0,73,896.765744
-73.4,67,897.492798
16.3,41,897.766067
-1.1,123,924.425739
-16.7,84,925.409107
-12.5,94,926.310696
37.8,95,927.380832
-41.3,147,928.683347
34.2,86,949.639279
-16.0,85,950.565801
25.5,64,951.134279
-63.0,93,951.919179
-29.1,53,952.211397
-25.0,63,952.63626
-24.7,64,953.176815
18.3,46,979.278977
26.2,66,979.85743
