Episodio,Puntaje
1,[1106.]
2,[178.]
3,[247.]
4,[149.]
5,[1106.]
6,[190.]
7,[313.]
8,[1106.]
9,[974.]
10,[187.]
11,[1106.]
12,[1106.]
13,[364.]
14,[1106.]
15,[280.]
16,[507.]
17,[1106.]
18,[763.]
19,[375.]
20,[1106.]
21,[395.]
22,[225.]
23,[481.]
24,[222.]
25,[228.]
26,[256.]
27,[1106.]
28,[124.]
29,[574.]
30,[1106.]
31,[1106.]
32,[241.]
33,[1106.]
34,[1106.]
35,[245.]
36,[121.]
37,[1106.]
38,[1106.]
39,[1106.]
40,[1106.]
41,[1106.]
42,[310.]
43,[1106.]
44,[1106.]
45,[387.]
46,[789.]
47,[725.]
48,[1106.]
49,[397.]
50,[264.]
51,[1106.]
52,[1106.]
53,[294.]
54,[182.]
55,[190.]
56,[1106.]
57,[151.]
58,[110.]
59,[206.]
60,[1106.]
61,[262.]
62,[1106.]
63,[599.]
64,[1106.]
65,[1106.]
66,[170.]
67,[1106.]
68,[778.]
69,[281.]
70,[1106.]
71,[542.]
72,[370.]
73,[481.]
74,[522.]
75,[130.]
76,[1106.]
77,[98.]
78,[1106.]
79,[1106.]
80,[1106.]
81,[501.]
82,[107.]
83,[1106.]
84,[1106.]
85,[477.]
86,[1106.]
87,[1106.]
88,[1106.]
89,[1106.]
90,[188.]
91,[1106.]
92,[1106.]
93,[439.]
94,[1106.]
95,[1106.]
96,[449.]
97,[172.]
98,[220.]
99,[1106.]
100,[1106.]
101,[115.]
102,[1106.]
103,[115.]
104,[1106.]
105,[1106.]
106,[1106.]
107,[1106.]
108,[1106.]
109,[1106.]
110,[146.]
111,[280.]
112,[1106.]
113,[361.]
114,[260.]
115,[1106.]
116,[1106.]
117,[1106.]
118,[310.]
119,[1106.]
120,[294.]
121,[148.]
122,[1106.]
123,[1106.]
124,[306.]
125,[1106.]
126,[1106.]
127,[1106.]
128,[198.]
129,[1106.]
130,[148.]
131,[124.]
132,[372.]
133,[496.]
134,[109.]
135,[133.]
136,[133.]
137,[1106.]
138,[1106.]
139,[811.]
140,[444.]
141,[1106.]
142,[1106.]
143,[277.]
144,[1106.]
145,[1106.]
146,[465.]
147,[1106.]
148,[131.]
149,[1106.]
150,[1106.]
151,[1106.]
152,[316.]
153,[495.]
154,[1106.]
155,[311.]
156,[360.]
157,[1106.]
158,[1106.]
159,[136.]
160,[1106.]
161,[1106.]
162,[1106.]
163,[1106.]
164,[90.]
165,[1106.]
166,[1106.]
167,[172.]
168,[1106.]
169,[1106.]
170,[1106.]
171,[1106.]
172,[257.]
173,[465.]
174,[383.]
175,[1106.]
176,[257.]
177,[379.]
178,[226.]
179,[437.]
180,[1106.]
181,[301.]
182,[1106.]
183,[507.]
184,[1106.]
185,[271.]
186,[1106.]
187,[148.]
188,[661.]
189,[1106.]
190,[346.]
191,[1106.]
192,[206.]
193,[1106.]
194,[151.]
195,[295.]
196,[201.]
197,[1106.]
198,[1106.]
199,[122.]
200,[330.]
201,[1106.]
202,[1106.]
203,[1106.]
204,[472.]
205,[533.]
206,[1106.]
207,[1106.]
208,[365.]
209,[1106.]
210,[509.]
211,[124.]
212,[1106.]
213,[1106.]
214,[224.]
215,[263.]
216,[1106.]
217,[127.]
218,[95.]
219,[499.]
220,[1106.]
221,[1106.]
222,[1106.]
223,[214.]
224,[1106.]
225,[1106.]
226,[169.]
227,[1106.]
228,[1106.]
229,[440.]
230,[1106.]
231,[1106.]
232,[1106.]
233,[1106.]
234,[162.]
235,[1106.]
236,[269.]
237,[178.]
238,[175.]
239,[150.]
240,[1106.]
241,[193.]
242,[386.]
243,[438.]
244,[437.]
245,[128.]
246,[1106.]
247,[1106.]
248,[452.]
249,[507.]
250,[1106.]
251,[606.]
252,[1106.]
253,[201.]
254,[347.]
255,[1106.]
256,[388.]
257,[1106.]
258,[734.]
259,[1106.]
260,[1106.]
261,[1106.]
262,[383.]
263,[185.]
264,[136.]
265,[234.]
266,[213.]
267,[362.]
268,[194.]
269,[1106.]
270,[1106.]
271,[518.]
272,[1106.]
273,[369.]
274,[166.]
275,[1106.]
276,[1106.]
277,[350.]
278,[1106.]
279,[110.]
280,[1106.]
281,[1106.]
282,[431.]
283,[536.]
284,[1106.]
285,[1106.]
286,[221.]
287,[1106.]
288,[1106.]
289,[1106.]
290,[1106.]
291,[1106.]
292,[209.]
293,[335.]
294,[244.]
295,[1106.]
296,[1106.]
297,[196.]
298,[419.]
299,[1106.]
300,[547.]
301,[1106.]
302,[333.]
303,[1106.]
304,[1106.]
305,[1106.]
306,[1106.]
307,[600.]
308,[293.]
309,[1106.]
310,[220.]
311,[274.]
312,[1106.]
313,[1106.]
314,[251.]
315,[281.]
316,[1106.]
317,[296.]
318,[228.]
319,[581.]
320,[127.]
321,[1106.]
322,[683.]
323,[649.]
324,[385.]
325,[199.]
326,[284.]
327,[398.]
328,[106.]
329,[1106.]
330,[288.]
331,[478.]
332,[1106.]
333,[1106.]
334,[1106.]
335,[285.]
336,[1106.]
337,[1106.]
338,[449.]
339,[137.]
340,[1106.]
341,[1106.]
342,[1106.]
343,[447.]
344,[1106.]
345,[1106.]
346,[535.]
347,[1106.]
348,[146.]
349,[1106.]
350,[1106.]
351,[1106.]
352,[1106.]
353,[1106.]
354,[1106.]
355,[1106.]
356,[1106.]
357,[166.]
358,[371.]
359,[456.]
360,[317.]
361,[373.]
362,[217.]
363,[1106.]
364,[1106.]
365,[332.]
366,[273.]
367,[1106.]
368,[1106.]
369,[305.]
370,[1106.]
371,[1106.]
372,[1106.]
373,[271.]
374,[374.]
375,[98.]
376,[589.]
377,[386.]
378,[344.]
379,[1106.]
380,[211.]
381,[613.]
382,[241.]
383,[136.]
384,[123.]
385,[1106.]
386,[400.]
387,[151.]
388,[178.]
389,[1106.]
390,[1106.]
391,[322.]
392,[146.]
393,[122.]
394,[1106.]
395,[109.]
396,[1106.]
397,[463.]
398,[811.]
399,[1106.]
400,[306.]
401,[1106.]
402,[462.]
403,[1106.]
404,[537.]
405,[1106.]
406,[1106.]
407,[1106.]
408,[379.]
409,[1106.]
410,[1106.]
411,[724.]
412,[439.]
413,[1106.]
414,[1106.]
415,[1106.]
416,[1106.]
417,[209.]
418,[336.]
419,[263.]
420,[424.]
421,[1106.]
422,[342.]
423,[355.]
424,[268.]
425,[1106.]
426,[301.]
427,[198.]
428,[1106.]
429,[1106.]
430,[110.]
431,[1106.]
432,[118.]
433,[1106.]
434,[1106.]
435,[99.]
436,[362.]
437,[270.]
438,[171.]
439,[179.]
440,[1106.]
441,[880.]
442,[1106.]
443,[482.]
444,[1106.]
445,[1106.]
446,[1106.]
447,[126.]
448,[1106.]
449,[1106.]
450,[391.]
451,[121.]
452,[1106.]
453,[1106.]
454,[167.]
455,[1106.]
456,[434.]
457,[1106.]
458,[1106.]
459,[394.]
460,[1106.]
461,[312.]
462,[1106.]
463,[1106.]
464,[1106.]
465,[1106.]
466,[1106.]
467,[437.]
468,[1106.]
469,[103.]
470,[1106.]
471,[1106.]
472,[1106.]
473,[1106.]
474,[331.]
475,[650.]
476,[1106.]
477,[124.]
478,[1106.]
479,[1106.]
480,[524.]
481,[1106.]
482,[103.]
483,[98.]
484,[1106.]
485,[438.]
486,[1106.]
487,[582.]
488,[100.]
489,[162.]
490,[501.]
491,[1106.]
492,[1106.]
493,[1106.]
494,[1106.]
495,[1106.]
496,[1106.]
497,[1106.]
498,[1106.]
499,[220.]
500,[280.]
501,[1106.]
502,[1106.]
503,[194.]
504,[1106.]
505,[236.]
506,[1106.]
507,[1106.]
508,[1106.]
509,[500.]
510,[161.]
511,[1106.]
512,[340.]
513,[208.]
514,[247.]
515,[145.]
516,[112.]
517,[1106.]
518,[1106.]
519,[293.]
520,[263.]
521,[888.]
522,[134.]
523,[1106.]
524,[1106.]
525,[1106.]
526,[208.]
527,[1106.]
528,[1106.]
529,[1106.]
530,[338.]
531,[189.]
532,[1106.]
533,[226.]
534,[1106.]
535,[1106.]
536,[134.]
537,[361.]
538,[819.]
539,[1106.]
540,[1106.]
541,[1106.]
542,[316.]
543,[1106.]
544,[218.]
545,[1106.]
546,[1106.]
547,[446.]
548,[436.]
549,[407.]
550,[302.]
551,[1106.]
552,[142.]
553,[1106.]
554,[1106.]
555,[487.]
556,[1106.]
557,[157.]
558,[131.]
559,[536.]
560,[1106.]
561,[522.]
562,[382.]
563,[1106.]
564,[66.]
565,[679.]
566,[527.]
567,[373.]
568,[1106.]
569,[158.]
570,[1106.]
571,[1106.]
572,[1106.]
573,[517.]
574,[112.]
575,[1106.]
576,[140.]
577,[1106.]
578,[1106.]
579,[290.]
580,[1106.]
581,[1106.]
582,[160.]
583,[1106.]
584,[1106.]
585,[1106.]
586,[325.]
587,[1106.]
588,[614.]
589,[110.]
590,[1106.]
591,[1106.]
592,[1106.]
593,[1106.]
594,[1106.]
595,[1106.]
596,[1106.]
597,[482.]
598,[664.]
599,[383.]
600,[1106.]
601,[1106.]
602,[387.]
603,[500.]
604,[259.]
605,[1106.]
606,[414.]
607,[310.]
608,[112.]
609,[194.]
610,[1106.]
611,[267.]
612,[1106.]
613,[578.]
614,[1106.]
615,[343.]
616,[1106.]
617,[180.]
618,[1106.]
619,[340.]
620,[1106.]
621,[1106.]
622,[324.]
623,[1106.]
624,[643.]
625,[1106.]
626,[1106.]
627,[204.]
628,[110.]
629,[1106.]
630,[1106.]
631,[1106.]
632,[1106.]
633,[641.]
634,[215.]
635,[355.]
636,[312.]
637,[195.]
638,[208.]
639,[539.]
640,[1106.]
641,[337.]
642,[205.]
643,[202.]
644,[445.]
645,[1106.]
646,[1106.]
647,[355.]
648,[1106.]
649,[1106.]
650,[1106.]
651,[462.]
652,[1106.]
653,[103.]
654,[410.]
655,[254.]
656,[148.]
657,[1106.]
658,[1106.]
659,[1106.]
660,[1106.]
661,[175.]
662,[180.]
663,[1106.]
664,[235.]
665,[98.]
666,[1106.]
667,[1106.]
668,[1106.]
669,[689.]
670,[263.]
671,[388.]
672,[165.]
673,[159.]
674,[146.]
675,[1106.]
676,[1106.]
677,[210.]
678,[1106.]
679,[1106.]
680,[463.]
681,[188.]
682,[1106.]
683,[155.]
684,[134.]
685,[1106.]
686,[1106.]
687,[350.]
688,[1106.]
689,[1106.]
690,[1106.]
691,[214.]
692,[577.]
693,[1106.]
694,[420.]
695,[1106.]
696,[249.]
697,[1106.]
698,[1106.]
699,[120.]
700,[1106.]
701,[1106.]
702,[427.]
703,[1106.]
704,[259.]
705,[124.]
706,[1106.]
707,[1106.]
708,[1106.]
709,[168.]
710,[1106.]
711,[203.]
712,[1106.]
713,[1106.]
714,[133.]
715,[1106.]
716,[696.]
717,[443.]
718,[1106.]
719,[501.]
720,[1106.]
721,[1106.]
722,[1106.]
723,[1106.]
724,[1106.]
725,[134.]
726,[1106.]
727,[1106.]
