Episodio,Puntaje
1,[278.]
2,[911.]
3,[859.]
4,[911.]
5,[911.]
6,[430.]
7,[911.]
8,[911.]
9,[911.]
10,[911.]
11,[437.]
12,[911.]
13,[911.]
14,[911.]
15,[911.]
16,[911.]
17,[193.]
18,[150.]
19,[346.]
20,[911.]
21,[911.]
22,[552.]
23,[512.]
24,[208.]
25,[142.]
26,[374.]
27,[531.]
28,[544.]
29,[911.]
30,[911.]
31,[268.]
32,[554.]
33,[911.]
34,[1033.]
35,[343.]
36,[481.]
37,[911.]
38,[342.]
39,[911.]
40,[612.]
41,[250.]
42,[911.]
43,[911.]
44,[911.]
45,[911.]
46,[171.]
47,[331.]
48,[911.]
49,[911.]
50,[389.]
51,[911.]
52,[585.]
53,[911.]
54,[405.]
55,[304.]
56,[911.]
57,[167.]
58,[911.]
59,[240.]
60,[157.]
61,[911.]
62,[200.]
63,[911.]
64,[257.]
65,[911.]
66,[911.]
67,[911.]
68,[911.]
69,[234.]
70,[911.]
71,[422.]
72,[279.]
73,[911.]
74,[641.]
75,[265.]
76,[362.]
77,[133.]
78,[911.]
79,[136.]
80,[911.]
81,[911.]
82,[138.]
83,[169.]
84,[222.]
85,[911.]
86,[391.]
87,[519.]
88,[142.]
89,[911.]
90,[911.]
91,[666.]
92,[911.]
93,[94.]
94,[992.]
95,[911.]
96,[203.]
97,[911.]
98,[911.]
99,[402.]
100,[460.]
101,[208.]
102,[911.]
103,[911.]
104,[911.]
105,[911.]
106,[911.]
107,[911.]
108,[911.]
109,[459.]
110,[146.]
111,[911.]
112,[112.]
113,[512.]
114,[265.]
115,[911.]
116,[911.]
117,[315.]
118,[911.]
119,[911.]
120,[911.]
121,[226.]
122,[524.]
123,[150.]
124,[587.]
125,[184.]
126,[225.]
127,[291.]
128,[1181.]
129,[911.]
130,[911.]
131,[911.]
132,[265.]
133,[128.]
134,[911.]
135,[466.]
136,[911.]
137,[169.]
138,[110.]
139,[195.]
140,[599.]
141,[376.]
142,[911.]
143,[602.]
144,[911.]
145,[911.]
146,[98.]
147,[911.]
148,[911.]
149,[911.]
150,[911.]
151,[911.]
152,[513.]
153,[911.]
154,[406.]
155,[179.]
156,[911.]
157,[196.]
158,[911.]
159,[355.]
160,[911.]
161,[224.]
162,[288.]
163,[911.]
164,[911.]
165,[198.]
166,[911.]
167,[911.]
168,[827.]
169,[911.]
170,[156.]
171,[911.]
172,[911.]
173,[911.]
174,[911.]
175,[371.]
176,[911.]
177,[223.]
178,[911.]
179,[493.]
180,[911.]
181,[911.]
182,[911.]
183,[911.]
184,[490.]
185,[653.]
186,[267.]
187,[911.]
188,[911.]
189,[911.]
190,[245.]
191,[911.]
192,[200.]
193,[230.]
194,[911.]
195,[175.]
196,[911.]
197,[911.]
198,[911.]
199,[636.]
200,[214.]
201,[911.]
202,[911.]
203,[312.]
204,[911.]
205,[911.]
206,[164.]
207,[749.]
208,[911.]
209,[911.]
210,[911.]
211,[911.]
212,[563.]
213,[271.]
214,[123.]
215,[911.]
216,[382.]
217,[911.]
218,[911.]
219,[911.]
220,[196.]
221,[442.]
222,[273.]
223,[911.]
224,[228.]
225,[290.]
226,[450.]
227,[911.]
228,[911.]
229,[279.]
230,[326.]
231,[981.]
232,[911.]
233,[911.]
234,[168.]
235,[728.]
236,[911.]
237,[911.]
238,[94.]
239,[167.]
240,[911.]
241,[911.]
242,[911.]
243,[911.]
244,[362.]
245,[138.]
246,[911.]
247,[911.]
248,[238.]
249,[547.]
250,[911.]
251,[340.]
252,[446.]
253,[249.]
254,[172.]
255,[911.]
256,[911.]
257,[911.]
258,[911.]
259,[156.]
260,[911.]
261,[911.]
262,[911.]
263,[309.]
264,[911.]
265,[121.]
266,[911.]
267,[911.]
268,[911.]
269,[467.]
270,[291.]
271,[164.]
272,[911.]
273,[260.]
274,[911.]
275,[252.]
276,[911.]
277,[424.]
278,[550.]
279,[911.]
280,[197.]
281,[911.]
282,[250.]
283,[911.]
284,[228.]
285,[238.]
286,[911.]
287,[911.]
288,[307.]
289,[911.]
290,[164.]
291,[911.]
292,[911.]
293,[911.]
294,[247.]
295,[911.]
296,[911.]
297,[94.]
298,[911.]
299,[423.]
300,[309.]
301,[911.]
302,[463.]
303,[682.]
304,[304.]
305,[911.]
306,[911.]
307,[911.]
308,[911.]
309,[194.]
310,[633.]
311,[911.]
312,[724.]
313,[285.]
314,[911.]
315,[911.]
316,[156.]
317,[319.]
318,[911.]
319,[485.]
320,[911.]
321,[911.]
322,[911.]
323,[911.]
324,[400.]
325,[911.]
326,[911.]
327,[279.]
328,[381.]
329,[688.]
330,[911.]
331,[162.]
332,[911.]
333,[911.]
334,[144.]
335,[911.]
336,[911.]
337,[911.]
338,[911.]
339,[594.]
340,[911.]
341,[911.]
342,[422.]
343,[703.]
344,[145.]
345,[911.]
346,[454.]
347,[911.]
348,[911.]
349,[255.]
350,[151.]
351,[427.]
352,[911.]
353,[911.]
354,[323.]
355,[396.]
356,[911.]
357,[194.]
358,[911.]
359,[911.]
360,[911.]
361,[911.]
362,[911.]
363,[911.]
364,[297.]
365,[911.]
366,[911.]
367,[911.]
368,[911.]
369,[911.]
370,[402.]
371,[187.]
372,[243.]
373,[422.]
374,[259.]
375,[661.]
376,[276.]
377,[911.]
378,[106.]
379,[911.]
380,[272.]
381,[911.]
382,[911.]
383,[911.]
384,[104.]
385,[581.]
386,[911.]
387,[911.]
388,[183.]
389,[911.]
390,[911.]
391,[911.]
392,[911.]
393,[911.]
394,[911.]
395,[245.]
396,[911.]
397,[911.]
398,[326.]
399,[108.]
400,[911.]
401,[911.]
402,[911.]
403,[240.]
404,[911.]
405,[911.]
406,[167.]
407,[391.]
408,[628.]
409,[775.]
410,[197.]
411,[648.]
412,[737.]
413,[911.]
414,[663.]
415,[911.]
416,[911.]
417,[911.]
418,[210.]
419,[911.]
420,[911.]
421,[911.]
422,[660.]
423,[911.]
424,[911.]
425,[229.]
426,[911.]
427,[183.]
428,[911.]
429,[501.]
430,[911.]
431,[911.]
432,[118.]
433,[911.]
434,[306.]
435,[911.]
436,[911.]
437,[569.]
438,[142.]
439,[908.]
440,[270.]
441,[911.]
442,[431.]
443,[304.]
444,[911.]
445,[911.]
446,[911.]
447,[492.]
448,[407.]
449,[336.]
450,[911.]
451,[911.]
452,[174.]
453,[911.]
454,[258.]
455,[238.]
456,[911.]
457,[911.]
458,[264.]
459,[236.]
460,[911.]
461,[911.]
462,[911.]
463,[911.]
464,[199.]
465,[119.]
466,[260.]
467,[911.]
468,[911.]
469,[911.]
470,[911.]
471,[911.]
472,[800.]
473,[911.]
474,[911.]
475,[152.]
476,[911.]
477,[744.]
478,[911.]
479,[911.]
480,[699.]
481,[911.]
482,[911.]
483,[911.]
484,[911.]
485,[289.]
486,[351.]
487,[911.]
488,[441.]
489,[911.]
490,[911.]
491,[911.]
492,[911.]
493,[911.]
494,[911.]
495,[911.]
496,[295.]
497,[911.]
498,[547.]
499,[911.]
500,[911.]
501,[911.]
502,[501.]
503,[911.]
504,[911.]
505,[193.]
506,[911.]
507,[148.]
508,[160.]
509,[626.]
510,[200.]
511,[911.]
512,[911.]
513,[911.]
514,[911.]
515,[911.]
516,[246.]
517,[911.]
518,[398.]
519,[911.]
520,[911.]
521,[340.]
522,[572.]
523,[296.]
524,[279.]
525,[911.]
526,[181.]
527,[911.]
528,[499.]
529,[412.]
530,[911.]
531,[911.]
532,[758.]
533,[911.]
534,[911.]
535,[141.]
536,[911.]
537,[911.]
538,[417.]
539,[179.]
540,[911.]
541,[187.]
542,[501.]
543,[911.]
544,[911.]
545,[911.]
546,[911.]
547,[911.]
548,[246.]
549,[123.]
550,[911.]
551,[911.]
552,[911.]
553,[258.]
554,[200.]
555,[769.]
556,[911.]
557,[445.]
558,[997.]
559,[514.]
560,[911.]
561,[175.]
562,[911.]
563,[911.]
564,[911.]
565,[911.]
566,[911.]
567,[246.]
