Episodio,Puntaje
1,[235.]
2,[190.]
3,[75.]
4,[227.]
5,[326.]
6,[192.]
7,[229.]
8,[95.]
9,[237.]
10,[335.]
11,[321.]
12,[287.]
13,[266.]
14,[137.]
15,[232.]
16,[246.]
17,[258.]
18,[306.]
19,[226.]
20,[292.]
21,[241.]
22,[278.]
23,[461.]
24,[232.]
25,[175.]
26,[448.]
27,[196.]
28,[275.]
29,[327.]
30,[238.]
31,[203.]
32,[164.]
33,[537.]
34,[386.]
35,[278.]
36,[344.]
37,[239.]
38,[106.]
39,[294.]
40,[274.]
41,[132.]
42,[406.]
43,[301.]
44,[174.]
45,[136.]
46,[491.]
47,[271.]
48,[271.]
49,[138.]
50,[347.]
51,[127.]
52,[238.]
53,[162.]
54,[229.]
55,[327.]
56,[289.]
57,[264.]
58,[541.]
59,[226.]
60,[340.]
61,[315.]
62,[512.]
63,[258.]
64,[174.]
65,[197.]
66,[334.]
67,[253.]
68,[420.]
69,[194.]
70,[316.]
71,[620.]
72,[253.]
73,[216.]
74,[167.]
75,[189.]
76,[155.]
77,[103.]
78,[190.]
79,[197.]
80,[381.]
81,[628.]
82,[416.]
83,[192.]
84,[225.]
85,[482.]
86,[379.]
87,[415.]
88,[368.]
89,[345.]
90,[388.]
91,[205.]
92,[225.]
93,[189.]
94,[148.]
95,[185.]
96,[275.]
97,[162.]
98,[163.]
99,[326.]
100,[264.]
101,[181.]
102,[98.]
103,[320.]
104,[250.]
105,[237.]
106,[198.]
107,[269.]
108,[176.]
109,[242.]
110,[129.]
111,[557.]
112,[224.]
113,[262.]
114,[213.]
115,[168.]
116,[560.]
117,[277.]
118,[178.]
119,[342.]
120,[461.]
121,[325.]
122,[165.]
123,[163.]
124,[352.]
125,[170.]
126,[197.]
127,[229.]
128,[217.]
129,[226.]
130,[170.]
131,[271.]
132,[368.]
133,[195.]
134,[157.]
135,[311.]
136,[339.]
137,[92.]
138,[245.]
139,[413.]
140,[162.]
141,[318.]
142,[278.]
143,[353.]
144,[217.]
145,[243.]
146,[165.]
147,[230.]
148,[361.]
149,[98.]
150,[295.]
151,[476.]
152,[151.]
153,[296.]
154,[354.]
155,[223.]
156,[92.]
157,[222.]
158,[282.]
159,[369.]
160,[139.]
161,[204.]
162,[222.]
163,[350.]
164,[279.]
165,[225.]
166,[418.]
167,[270.]
168,[211.]
169,[113.]
170,[226.]
171,[296.]
172,[680.]
173,[184.]
174,[277.]
175,[268.]
176,[709.]
177,[351.]
178,[387.]
179,[166.]
180,[210.]
181,[104.]
182,[279.]
183,[218.]
184,[125.]
185,[239.]
186,[165.]
187,[228.]
188,[162.]
189,[654.]
190,[100.]
191,[172.]
192,[527.]
193,[376.]
194,[196.]
195,[108.]
196,[337.]
197,[236.]
198,[526.]
199,[277.]
200,[203.]
201,[382.]
202,[72.]
203,[295.]
204,[302.]
205,[275.]
206,[297.]
207,[275.]
208,[411.]
209,[471.]
210,[327.]
211,[169.]
212,[287.]
213,[338.]
214,[121.]
215,[299.]
216,[328.]
217,[313.]
218,[193.]
219,[186.]
220,[236.]
221,[190.]
222,[183.]
223,[201.]
224,[703.]
225,[52.]
226,[150.]
227,[399.]
228,[446.]
229,[301.]
230,[447.]
231,[230.]
232,[341.]
233,[241.]
234,[184.]
235,[163.]
236,[296.]
237,[188.]
238,[525.]
239,[385.]
240,[406.]
241,[402.]
242,[279.]
243,[236.]
244,[337.]
245,[449.]
246,[302.]
247,[105.]
248,[169.]
249,[129.]
250,[437.]
251,[223.]
252,[429.]
253,[537.]
254,[229.]
255,[270.]
256,[399.]
257,[242.]
258,[109.]
259,[466.]
260,[146.]
261,[349.]
262,[286.]
263,[221.]
264,[194.]
265,[432.]
266,[661.]
267,[372.]
268,[269.]
269,[362.]
270,[150.]
271,[220.]
272,[220.]
273,[278.]
274,[271.]
275,[167.]
276,[236.]
277,[220.]
278,[441.]
279,[227.]
280,[301.]
281,[137.]
282,[282.]
283,[379.]
284,[347.]
285,[415.]
286,[106.]
287,[215.]
288,[116.]
289,[114.]
290,[195.]
291,[359.]
292,[207.]
293,[199.]
294,[235.]
295,[319.]
296,[378.]
297,[341.]
298,[197.]
299,[220.]
300,[445.]
301,[325.]
302,[125.]
303,[426.]
304,[111.]
305,[275.]
306,[255.]
307,[145.]
308,[203.]
309,[171.]
310,[276.]
311,[226.]
312,[294.]
313,[481.]
314,[240.]
315,[197.]
316,[323.]
317,[350.]
318,[267.]
319,[288.]
320,[326.]
321,[270.]
322,[211.]
323,[152.]
324,[278.]
325,[503.]
326,[623.]
327,[225.]
328,[153.]
329,[511.]
330,[181.]
331,[425.]
332,[258.]
333,[490.]
334,[152.]
335,[450.]
336,[198.]
337,[298.]
338,[220.]
339,[293.]
340,[226.]
341,[226.]
342,[410.]
343,[628.]
344,[267.]
345,[165.]
346,[205.]
347,[624.]
348,[275.]
349,[388.]
350,[366.]
351,[395.]
352,[274.]
353,[447.]
354,[195.]
355,[307.]
356,[328.]
357,[166.]
358,[304.]
359,[431.]
360,[353.]
361,[445.]
362,[597.]
363,[242.]
364,[265.]
365,[402.]
366,[206.]
367,[223.]
368,[192.]
369,[328.]
370,[111.]
371,[111.]
372,[273.]
373,[97.]
374,[457.]
375,[196.]
376,[634.]
377,[786.]
378,[164.]
379,[118.]
380,[398.]
381,[447.]
382,[224.]
383,[262.]
384,[162.]
385,[290.]
386,[444.]
387,[389.]
388,[180.]
389,[234.]
390,[225.]
391,[353.]
392,[345.]
393,[105.]
394,[203.]
395,[203.]
396,[317.]
397,[237.]
398,[489.]
399,[223.]
400,[236.]
401,[708.]
402,[235.]
403,[339.]
404,[514.]
405,[236.]
406,[188.]
407,[77.]
408,[299.]
409,[119.]
410,[344.]
411,[326.]
412,[229.]
413,[112.]
414,[383.]
415,[468.]
416,[220.]
417,[277.]
418,[329.]
419,[239.]
420,[416.]
421,[563.]
422,[511.]
423,[193.]
424,[180.]
425,[392.]
426,[298.]
427,[336.]
428,[230.]
429,[442.]
430,[349.]
431,[229.]
432,[258.]
433,[398.]
434,[142.]
435,[333.]
436,[206.]
437,[283.]
438,[234.]
439,[193.]
440,[192.]
441,[514.]
442,[195.]
443,[405.]
444,[237.]
445,[226.]
446,[233.]
447,[305.]
448,[279.]
449,[181.]
450,[235.]
451,[103.]
452,[317.]
453,[124.]
454,[411.]
455,[296.]
456,[409.]
457,[274.]
458,[221.]
459,[387.]
460,[157.]
461,[225.]
462,[381.]
463,[146.]
464,[569.]
465,[462.]
466,[177.]
467,[99.]
468,[196.]
469,[249.]
470,[513.]
471,[809.]
472,[343.]
473,[126.]
474,[183.]
475,[163.]
476,[423.]
477,[617.]
478,[739.]
479,[226.]
480,[143.]
481,[506.]
482,[181.]
483,[495.]
484,[225.]
485,[138.]
486,[122.]
487,[188.]
488,[592.]
489,[314.]
490,[207.]
491,[236.]
492,[95.]
493,[36.]
494,[223.]
495,[226.]
496,[232.]
497,[128.]
498,[228.]
499,[267.]
500,[232.]
501,[156.]
502,[106.]
503,[154.]
504,[227.]
505,[231.]
506,[202.]
507,[251.]
508,[525.]
509,[232.]
510,[325.]
511,[168.]
512,[423.]
513,[571.]
514,[281.]
515,[132.]
516,[320.]
517,[157.]
518,[351.]
519,[674.]
520,[200.]
521,[286.]
522,[268.]
523,[875.]
524,[276.]
525,[362.]
526,[241.]
527,[122.]
528,[170.]
529,[277.]
530,[165.]
531,[228.]
532,[224.]
533,[432.]
534,[187.]
535,[237.]
536,[194.]
537,[174.]
538,[269.]
539,[506.]
540,[236.]
541,[374.]
542,[367.]
543,[225.]
544,[243.]
545,[237.]
546,[506.]
547,[356.]
548,[190.]
549,[163.]
550,[451.]
551,[141.]
552,[285.]
553,[423.]
554,[395.]
555,[252.]
556,[279.]
557,[237.]
558,[135.]
559,[82.]
560,[201.]
561,[283.]
562,[189.]
563,[279.]
564,[249.]
565,[225.]
566,[456.]
567,[282.]
568,[184.]
569,[370.]
570,[248.]
571,[306.]
572,[144.]
573,[202.]
574,[370.]
575,[675.]
576,[274.]
577,[171.]
578,[184.]
579,[369.]
580,[442.]
581,[233.]
582,[162.]
583,[151.]
584,[224.]
585,[227.]
586,[443.]
587,[347.]
588,[300.]
589,[163.]
590,[260.]
591,[180.]
592,[280.]
593,[267.]
594,[227.]
595,[331.]
596,[233.]
597,[128.]
598,[296.]
599,[337.]
600,[279.]
601,[376.]
602,[161.]
603,[231.]
604,[299.]
605,[172.]
606,[241.]
607,[633.]
608,[235.]
609,[410.]
610,[351.]
611,[233.]
612,[211.]
613,[436.]
614,[225.]
615,[288.]
616,[335.]
617,[640.]
618,[167.]
619,[267.]
620,[94.]
621,[349.]
622,[133.]
623,[162.]
624,[133.]
625,[386.]
626,[193.]
627,[417.]
628,[264.]
629,[108.]
630,[194.]
631,[96.]
632,[293.]
633,[396.]
634,[287.]
635,[226.]
636,[225.]
637,[106.]
638,[284.]
639,[190.]
640,[164.]
641,[226.]
642,[209.]
643,[281.]
644,[184.]
645,[225.]
646,[327.]
647,[266.]
648,[235.]
649,[287.]
650,[190.]
651,[124.]
652,[153.]
653,[282.]
654,[496.]
655,[163.]
656,[164.]
657,[309.]
658,[230.]
659,[446.]
660,[277.]
661,[170.]
662,[409.]
663,[343.]
664,[165.]
665,[274.]
666,[321.]
667,[223.]
668,[167.]
669,[325.]
670,[225.]
671,[149.]
672,[409.]
673,[146.]
674,[212.]
675,[125.]
676,[170.]
677,[212.]
678,[322.]
679,[221.]
680,[290.]
681,[405.]
682,[219.]
683,[280.]
684,[221.]
685,[221.]
686,[634.]
687,[70.]
688,[71.]
689,[398.]
690,[346.]
691,[351.]
692,[292.]
693,[486.]
694,[205.]
695,[220.]
696,[295.]
697,[193.]
698,[115.]
699,[239.]
700,[353.]
701,[239.]
702,[718.]
703,[462.]
704,[365.]
705,[428.]
706,[107.]
707,[162.]
708,[725.]
709,[264.]
710,[154.]
711,[163.]
712,[248.]
713,[157.]
714,[268.]
715,[194.]
716,[226.]
717,[216.]
718,[235.]
719,[494.]
720,[394.]
721,[167.]
722,[343.]
723,[164.]
724,[167.]
725,[291.]
726,[583.]
727,[523.]
728,[174.]
729,[237.]
730,[340.]
731,[221.]
732,[279.]
733,[325.]
734,[254.]
735,[442.]
736,[223.]
737,[168.]
738,[444.]
739,[226.]
740,[238.]
741,[332.]
742,[145.]
743,[176.]
744,[394.]
745,[282.]
746,[242.]
747,[239.]
748,[295.]
749,[194.]
750,[589.]
751,[350.]
752,[236.]
753,[173.]
754,[234.]
755,[165.]
756,[239.]
757,[318.]
758,[361.]
759,[289.]
760,[232.]
761,[456.]
762,[144.]
763,[238.]
764,[440.]
765,[108.]
766,[288.]
767,[221.]
768,[316.]
769,[594.]
770,[236.]
771,[272.]
772,[351.]
773,[241.]
774,[220.]
775,[271.]
776,[425.]
777,[226.]
778,[406.]
779,[126.]
780,[237.]
781,[269.]
782,[189.]
783,[233.]
784,[462.]
785,[447.]
786,[79.]
787,[287.]
788,[407.]
789,[841.]
790,[181.]
791,[249.]
792,[289.]
793,[151.]
794,[165.]
795,[194.]
796,[237.]
797,[278.]
798,[363.]
799,[214.]
800,[371.]
801,[266.]
802,[214.]
803,[283.]
804,[334.]
805,[301.]
806,[104.]
807,[238.]
808,[170.]
809,[98.]
810,[255.]
811,[213.]
812,[183.]
813,[226.]
814,[259.]
815,[267.]
816,[220.]
817,[170.]
818,[387.]
819,[235.]
820,[225.]
821,[463.]
822,[343.]
823,[249.]
824,[398.]
825,[319.]
826,[222.]
827,[473.]
828,[191.]
829,[387.]
830,[228.]
831,[298.]
832,[296.]
833,[385.]
834,[234.]
835,[229.]
836,[478.]
837,[163.]
838,[271.]
839,[127.]
840,[315.]
841,[200.]
842,[123.]
843,[635.]
844,[495.]
845,[476.]
846,[196.]
847,[237.]
848,[165.]
849,[244.]
850,[137.]
851,[353.]
852,[280.]
853,[190.]
854,[377.]
855,[190.]
856,[195.]
857,[430.]
858,[223.]
859,[223.]
860,[351.]
861,[294.]
862,[359.]
863,[116.]
864,[363.]
865,[130.]
866,[135.]
867,[250.]
868,[196.]
869,[222.]
870,[296.]
871,[479.]
872,[236.]
873,[323.]
874,[807.]
875,[140.]
876,[170.]
877,[190.]
878,[447.]
879,[837.]
880,[279.]
881,[298.]
882,[180.]
883,[239.]
884,[278.]
885,[221.]
886,[280.]
887,[499.]
888,[124.]
889,[221.]
890,[228.]
891,[326.]
892,[611.]
893,[435.]
894,[209.]
895,[485.]
896,[251.]
897,[247.]
898,[207.]
